name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
Neighbors,R,Comedy,1981,"December 18, 1981 (United States)",5.6,7600,JOHN G. AVILDSEN,Thomas Berger,John Belushi,UNITED STATES,8500000,29916207.0,Columbia Pictures,"94.0,"
Puberty Blues,R,Comedy,1981,"December 10, 1981 (Australia)",5.9,1300,BRUCE BERESFORD,Margaret Kelly,Nell Schofield,AUSTRALIA,0,237000.0,Limelight Productions (II),"87.0,"
Eye of the Needle,R,Romance,1981,"July 24, 1981 (United States)",7.1,9900,RICHARD MARQUAND,Ken Follett,Donald Sutherland,UNITED KINGDOM,0,17583634.0,Kings Road Entertainment,"112.0,"
Wolfen,R,Horror,1981,"July 24, 1981 (United States)",6.3,9400,MICHAEL WADLEIGH,Whitley Strieber,Albert Finney,UNITED STATES,17000000,10626725.0,Orion Pictures,"115.0,"
Student Bodies,R,Comedy,1981,"August 7, 1981 (United States)",5.5,4400,MICKEY ROSE,Mickey Rose,Kristen Riter,UNITED STATES,0,5165432.0,Allen Smithee Classic Films,"86.0,"
Prince of the City,R,Crime,1981,"August 26, 1981 (United States)",7.5,7600,SIDNEY LUMET,Jay Presson Allen,Treat Williams,UNITED STATES,8600000,8124257.0,Orion Pictures,"167.0,"
The Hand,R,Drama,1981,"April 24, 1981 (United States)",5.5,5700,OLIVER STONE,Marc Brandel,Michael Caine,UNITED STATES,0,2447576.0,Orion Pictures,"104.0,"
Continental Divide,PG,Comedy,1981,"September 18, 1981 (United States)",6.2,4800,MICHAEL APTED,Lawrence Kasdan,John Belushi,UNITED STATES,0,15578237.0,Universal Pictures,"103.0,"
Diva,R,Music,1981,"April 23, 1982 (United States)",7.2,12000,JEAN-JACQUES BEINEIX,Daniel Odier,Wilhelmenia Fernandez,FRANCE,0,110014.0,Les Films Galaxie,"117.0,"
Venom,R,Horror,1981,"January 29, 1982 (United States)",5.8,2600,PIERS HAGGARD,Alan Scholefield,Klaus Kinski,UNITED KINGDOM,0,5229643.0,Morison Film Group,"92.0,"
Fort Apache the Bronx,R,Crime,1981,"February 6, 1981 (United States)",6.7,5800,DANIEL PETRIE,Heywood Gould,Paul Newman,UNITED STATES,0,29200000.0,Time Life Films,"125.0,"
Eyes of a Stranger,R,Horror,1981,"March 27, 1981 (United States)",6.0,2400,KEN WIEDERHORN,Ron Kurz,Lauren Tewes,UNITED STATES,800000,1118634.0,Georgetown Productions Inc.,"84.0,"
Under the Rainbow,PG,Comedy,1981,"July 31, 1981 (United States)",5.4,2600,STEVE RASH,Fred Bauer,Chevy Chase,UNITED STATES,20000000,18826490.0,Innovisions,"98.0,"
Carbon Copy,PG,Comedy,1981,"September 25, 1981 (United States)",5.6,2600,MICHAEL SCHULTZ,Stanley Shapiro,George Segal,UNITED STATES,6000000,9566593.0,DeHaven/Shapiro Productions,"92.0,"
The Incredible Shrinking Woman,PG,Comedy,1981,"January 30, 1981 (United States)",5.5,4500,JOEL SCHUMACHER,Richard Matheson,Lily Tomlin,UNITED STATES,0,20259961.0,Lija Productions,"88.0,"
The Night the Lights Went Out in Georgia,PG,Drama,1981,"June 5, 1981 (United States)",6.0,891,RON MAXWELL,Bob Bonney,Kristy McNichol,UNITED STATES,0,14923752.0,Viacom Enterprises,"112.0,"
Quartet,R,Drama,1981,"October 25, 1981 (United States)",6.3,1300,JAMES IVORY,Jean Rhys,Isabelle Adjani,UNITED KINGDOM,0,12042.0,Merchant Ivory Productions,"101.0,"
Modern Problems,PG,Comedy,1981,"December 25, 1981 (United States)",5.1,4900,KEN SHAPIRO,Ken Shapiro,Chevy Chase,UNITED STATES,8000000,26154211.0,Twentieth Century Fox,"93.0,"
Pennies from Heaven,R,Drama,1981,"January 1, 1982 (United States)",6.5,5300,HERBERT ROSS,Dennis Potter,Steve Martin,UNITED STATES,22000000,9171289.0,Metro-Goldwyn-Mayer (MGM),"108.0,"
The Legend of the Lone Ranger,PG,Action,1981,"May 22, 1981 (United States)",5.1,2000,WILLIAM A. FRAKER,Ivan Goff,Klinton Spilsbury,UNITED STATES,18000000,12617845.0,Eaves Movie Ranch,"98.0,"
Sphinx,PG,Adventure,1981,"February 11, 1981 (United States)",5.2,1300,FRANKLIN J. SCHAFFNER,John Byrum,Lesley-Anne Down,UNITED KINGDOM,14000000,2022771.0,Orion Pictures,"118.0,"
Night School,R,Horror,1981,"September 11, 1981 (United States)",5.6,2400,KEN HUGHES,Ruth Avergon,Leonard Mann,UNITED STATES,0,1169875.0,Lorimar Productions,"88.0,"
Zoot Suit,R,Drama,1981,"January 1, 1982 (United States)",6.8,1100,LUIS VALDEZ,Luis Valdez,Daniel Valdez,UNITED STATES,2700000,3256082.0,Universal Pictures,"103.0,"
Rich and Famous,R,Drama,1981,"October 9, 1981 (United States)",5.9,1600,GEORGE CUKOR,Gerald Ayres,Jacqueline Bisset,UNITED STATES,0,14492125.0,Jaquet,"117.0,"
Buddy Buddy,R,Comedy,1981,"December 11, 1981 (United States)",6.5,4500,BILLY WILDER,Francis Veber,Jack Lemmon,UNITED STATES,10000000,7258543.0,Heron Productions,"96.0,"
Bustin' Loose,R,Comedy,1981,"May 22, 1981 (United States)",6.1,2900,OZ SCOTT,Lonne Elder III,Richard Pryor,UNITED STATES,11000000,31261269.0,Universal Pictures,"94.0,"
Modern Romance,R,Comedy,1981,"March 13, 1981 (United States)",7.0,3600,ALBERT BROOKS,Albert Brooks,Albert Brooks,UNITED STATES,0,2863642.0,Columbia Pictures,"93.0,"
Heartbeeps,PG,Comedy,1981,"December 18, 1981 (United States)",4.3,1300,ALLAN ARKUSH,John Hill,Andy Kaufman,UNITED STATES,12000000,2154696.0,Universal Pictures,"78.0,"
Back Roads,R,Adventure,1981,"March 13, 1981 (United States)",5.6,829,MARTIN RITT,Gary DeVore,Sally Field,UNITED STATES,0,11809387.0,CBS Theatrical Films,"94.0,"
Take This Job and Shove It,PG,Comedy,1981,"May 15, 1981 (United States)",5.0,761,GUS TRIKONIS,Barry Schneider,Robert Hays,UNITED STATES,3500000,17569027.0,Cinema Group Ventures,"100.0,"
Raggedy Man,R,Drama,1981,"September 18, 1981 (United States)",6.8,1400,JACK FISK,William D. Wittliff,Sissy Spacek,UNITED STATES,0,1976198.0,Universal Pictures,"94.0,"
Whose Life Is It Anyway?,R,Comedy,1981,"January 22, 1982 (United States)",7.3,2700,JOHN BADHAM,Brian Clark,Richard Dreyfuss,UNITED STATES,13000000,8206145.0,Metro-Goldwyn-Mayer (MGM),"119.0,"
Inchon,PG,Drama,1981,"September 17, 1982 (United States)",2.7,659,TERENCE YOUNG,Robin Moore,Laurence Olivier,SOUTH KOREA,46000000,5200986.0,One Way Productions,"140.0,"
All Night Long,R,Comedy,1981,"March 6, 1981 (United States)",5.5,1700,JEAN-CLAUDE TRAMONT,W.D. Richter,Gene Hackman,UNITED STATES,14000000,4454295.0,Universal Pictures,"87.0,"
The Pursuit of D.B. Cooper,PG,Adventure,1981,"November 13, 1981 (United States)",5.6,1100,ROGER SPOTTISWOODE,J.D. Reed,Robert Duvall,UNITED STATES,12000000,3702028.0,PolyGram Pictures,"100.0,"
Rollover,R,Drama,1981,"December 11, 1981 (United States)",5.4,1100,ALAN J. PAKULA,Howard Kohn,Jane Fonda,UNITED STATES,16000000,10851261.0,IPC Films,"116.0,"
Only When I Laugh,R,Comedy,1981,"September 25, 1981 (United States)",6.5,1300,GLENN JORDAN,Neil Simon,Marsha Mason,UNITED STATES,0,25524778.0,Columbia Pictures,"120.0,"
Honky Tonk Freeway,PG,Action,1981,"August 21, 1981 (United States)",5.2,928,JOHN SCHLESINGER,Edward Clinton,David Rasche,UNITED STATES,24000000,2004742.0,EMI Films,"107.0,"
Paternity,PG,Comedy,1981,"October 2, 1981 (United States)",4.9,920,DAVID STEINBERG,Charlie Peters,Burt Reynolds,UNITED STATES,0,18838812.0,Paramount Pictures,"94.0,"
King of the Mountain,PG,Action,1981,"May 1, 1981 (United States)",5.5,384,NOEL NOSSECK,David Barry,Harry Hamlin,UNITED STATES,2000000,1791147.0,PolyGram Pictures,"90.0,"
The Devil and Max Devlin,PG,Comedy,1981,"March 6, 1981 (United States)",5.0,1200,STEVEN HILLIARD STERN,Mary Rodgers,Elliott Gould,UNITED STATES,0,16000000.0,Walt Disney Productions,"96.0,"
The Amateur,R,Crime,1981,"February 12, 1982 (United States)",5.8,782,CHARLES JARROTT,Robert Littell,John Savage,CANADA,0,6892098.0,Balkan Productions,"112.0,"
Comin' at Ya!,R,Western,1981,"July 24, 1981 (United States)",5.1,499,FERDINANDO BALDI,Wolfe Lowenthal,Tony Anthony,ITALY,0,12000000.0,Lupo-Anthony-Quintano Productions,"91.0,"
Le Pont du Nord,Not Rated,Adventure,1981,"March 24, 1982 (France)",6.9,1100,JACQUES RIVETTE,Bulle Ogier,Bulle Ogier,FRANCE,0,17110.0,Les Films du Losange,"129.0,"
Silence of the North,PG,Drama,1981,"October 23, 1981 (Canada)",6.3,228,ALLAN KING,Olive Frederickson,Ellen Burstyn,CANADA,0,1622898.0,Universal Pictures,"94.0,"
Fast Times at Ridgemont High,R,Comedy,1982,"August 13, 1982 (United States)",7.2,98000,AMY HECKERLING,Cameron Crowe,Sean Penn,UNITED STATES,4500000,27092880.0,Universal Pictures,"90.0,"
Blade Runner,R,Action,1982,"June 25, 1982 (United States)",8.1,710000,RIDLEY SCOTT,Hampton Fancher,Harrison Ford,UNITED STATES,28000000,41676878.0,The Ladd Company,"117.0,"
The Thing,R,Horror,1982,"June 25, 1982 (United States)",8.1,382000,JOHN CARPENTER,Bill Lancaster,Kurt Russell,UNITED STATES,15000000,19632053.0,Universal Pictures,"109.0,"
Conan the Barbarian,R,Action,1982,"May 14, 1982 (United States)",6.9,141000,JOHN MILIUS,Robert E. Howard,Arnold Schwarzenegger,UNITED STATES,20000000,68851475.0,Universal Pictures,"129.0,"
E.T. the Extra-Terrestrial,PG,Family,1982,"June 11, 1982 (United States)",7.8,381000,STEVEN SPIELBERG,Melissa Mathison,Henry Thomas,UNITED STATES,10500000,792910554.0,Universal Pictures,"115.0,"
First Blood,R,Action,1982,"October 22, 1982 (United States)",7.7,234000,TED KOTCHEFF,David Morrell,Sylvester Stallone,UNITED STATES,15000000,125212904.0,Anabasis N.V.,"93.0,"
An Officer and a Gentleman,R,Drama,1982,"August 13, 1982 (United States)",7.0,52000,TAYLOR HACKFORD,Douglas Day Stewart,Richard Gere,UNITED STATES,7500000,129795554.0,Lorimar Film Entertainment,"124.0,"
Grease 2,PG,Comedy,1982,"June 11, 1982 (United States)",4.4,34000,PATRICIA BIRCH,Ken Finkleman,Michelle Pfeiffer,UNITED STATES,13200000,15171476.0,Paramount Pictures,"115.0,"
Annie,PG,Comedy,1982,"June 18, 1982 (United States)",6.6,41000,JOHN HUSTON,Carol Sobieski,Aileen Quinn,UNITED STATES,50000000,57063861.0,Columbia Pictures,"127.0,"
Poltergeist,PG,Horror,1982,"June 4, 1982 (United States)",7.3,148000,TOBE HOOPER,Steven Spielberg,JoBeth Williams,UNITED STATES,10700000,77142388.0,Metro-Goldwyn-Mayer (MGM),"114.0,"
48 Hrs.,R,Action,1982,"December 8, 1982 (United States)",6.9,73000,WALTER HILL,Roger Spottiswoode,Nick Nolte,UNITED STATES,12000000,78868508.0,Paramount Pictures,"96.0,"
Star Trek II: The Wrath of Khan,PG,Action,1982,"June 4, 1982 (United States)",7.7,115000,NICHOLAS MEYER,Gene Roddenberry,William Shatner,UNITED STATES,11200000,78912963.0,Paramount Pictures,"113.0,"
Paradise,R,Adventure,1982,"May 7, 1982 (United States)",4.9,2500,STUART GILLARD,Stuart Gillard,Willie Aames,CANADA,0,5588800.0,Embassy Pictures,"100.0,"
The Last American Virgin,R,Comedy,1982,"July 30, 1982 (United States)",6.3,8100,BOAZ DAVIDSON,Boaz Davidson,Lawrence Monoson,UNITED STATES,0,5829781.0,Cannon Group,"92.0,"
Sophie's Choice,R,Drama,1982,"March 4, 1983 (United States)",7.6,44000,ALAN J. PAKULA,William Styron,Meryl Streep,UNITED KINGDOM,12000000,30036000.0,Incorporated Television Company (ITC),"150.0,"
Gandhi,PG,Biography,1982,"February 25, 1983 (United States)",8.0,220000,RICHARD ATTENBOROUGH,John Briley,Ben Kingsley,UNITED KINGDOM,22000000,52767889.0,International Film Investors,"191.0,"
Tootsie,PG,Comedy,1982,"December 17, 1982 (United States)",7.4,100000,SYDNEY POLLACK,Don McGuire,Dustin Hoffman,UNITED STATES,21000000,177200000.0,Columbia Pictures,"116.0,"
Tron,PG,Action,1982,"July 9, 1982 (United States)",6.8,115000,STEVEN LISBERGER,Steven Lisberger,Jeff Bridges,UNITED STATES,17000000,33000525.0,Walt Disney Productions,"96.0,"
The Secret of NIMH,G,Animation,1982,"July 16, 1982 (United States)",7.6,37000,DON BLUTH,Robert C. O'Brien,Elizabeth Hartman,UNITED STATES,7000000,14665733.0,Aurora,"82.0,"
The King of Comedy,PG,Comedy,1982,"February 18, 1983 (Brazil)",7.8,94000,MARTIN SCORSESE,Paul D. Zimmerman,Robert De Niro,UNITED STATES,20000000,2536242.0,Embassy International Pictures,"109.0,"
Rocky III,PG,Drama,1982,"May 28, 1982 (United States)",6.8,179000,SYLVESTER STALLONE,Sylvester Stallone,Sylvester Stallone,UNITED STATES,17000000,125052686.0,Chartoff-Winkler Productions,"99.0,"
The Beastmaster,PG,Action,1982,"August 20, 1982 (United States)",6.2,22000,DON COSCARELLI,Don Coscarelli,Marc Singer,UNITED STATES,8000000,14056528.0,Leisure Investment Company,"118.0,"
Creepshow,R,Comedy,1982,"November 12, 1982 (United States)",6.9,44000,GEORGE A. ROMERO,Stephen King,Hal Holbrook,UNITED STATES,8000000,21028755.0,United Film Distribution Company (UFDC),"120.0,"
The Man from Snowy River,PG,Adventure,1982,"November 5, 1982 (United States)",7.3,8200,GEORGE MILLER,A.B. 'Banjo' Paterson,Kirk Douglas,AUSTRALIA,3500000,20659423.0,Cambridge Productions,"102.0,"
Pink Floyd: The Wall,R,Drama,1982,"September 17, 1982 (United States)",8.0,78000,ALAN PARKER,Roger Waters,Bob Geldof,UNITED KINGDOM,12000000,22265763.0,Goldcrest Films International,"95.0,"
Cat People,R,Fantasy,1982,"April 2, 1982 (United States)",6.2,20000,PAUL SCHRADER,DeWitt Bodeen,Nastassja Kinski,UNITED STATES,18000000,7000000.0,RKO Pictures,"118.0,"
Fanny and Alexander,R,Drama,1982,"December 17, 1982 (Sweden)",8.1,59000,INGMAR BERGMAN,Ingmar Bergman,Bertil Guve,SWEDEN,6000000,6795771.0,Cinematograph AB,"188.0,"
Friday the 13th Part III,R,Horror,1982,"August 13, 1982 (United States)",5.7,49000,STEVE MINER,Martin Kitrosser,Dana Kimmell,UNITED STATES,2300000,36690067.0,Paramount Pictures,"95.0,"
Firefox,PG,Action,1982,"June 18, 1982 (United States)",6.0,26000,CLINT EASTWOOD,Alex Lasker,Clint Eastwood,UNITED STATES,18000000,46708276.0,Major Studio Partners,"136.0,"
Halloween III: Season of the Witch,R,Horror,1982,"October 22, 1982 (United States)",5.0,45000,TOMMY LEE WALLACE,Tommy Lee Wallace,Tom Atkins,UNITED STATES,2500000,14400000.0,Dino De Laurentiis Company,"98.0,"
The Dark Crystal,PG,Adventure,1982,"December 17, 1982 (United States)",7.2,63000,JIM HENSON,David Odell,Jim Henson,UNITED KINGDOM,15000000,41630431.0,Incorporated Television Company (ITC),"93.0,"
The Verdict,R,Drama,1982,"December 17, 1982 (United States)",7.7,37000,SIDNEY LUMET,Barry Reed,Paul Newman,UNITED STATES,16000000,53993738.0,Twentieth Century Fox,"129.0,"
Pieces,Not Rated,Horror,1982,"September 23, 1983 (United States)",6.1,9300,JUAN PIQUER SIMÓN,Dick Randall,Christopher George,SPAIN,300000,2032311.0,Almena Films,"85.0,"
Zapped!,R,Comedy,1982,"September 3, 1982 (United States)",4.9,6500,ROBERT J. ROSENTHAL,Bruce Rubin,Scott Baio,UNITED STATES,0,16897768.0,Embassy Pictures,"98.0,"
Six Pack,PG,Comedy,1982,"July 16, 1982 (United States)",5.9,2800,DANIEL PETRIE,Mike Marvin,Kenny Rogers,UNITED STATES,0,20225989.0,Twentieth Century Fox,"108.0,"
The World According to Garp,R,Comedy,1982,"July 23, 1982 (United States)",7.2,25000,GEORGE ROY HILL,John Irving,Robin Williams,UNITED STATES,17000000,29712172.0,Pan Arts,"136.0,"
Diner,R,Comedy,1982,"May 21, 1982 (United States)",7.1,19000,BARRY LEVINSON,Barry Levinson,Steve Guttenberg,UNITED STATES,5000000,14099953.0,Metro-Goldwyn-Mayer (MGM),"110.0,"
The Best Little Whorehouse in Texas,R,Comedy,1982,"July 23, 1982 (United States)",6.0,10000,COLIN HIGGINS,Larry L. King,Burt Reynolds,UNITED STATES,35000000,69701637.0,Universal Pictures,"114.0,"
The Year of Living Dangerously,PG,Drama,1982,"February 18, 1983 (United States)",7.1,20000,PETER WEIR,David Williamson,Mel Gibson,AUSTRALIA,13000000,10278575.0,Metro-Goldwyn-Mayer (MGM),"115.0,"
Night Shift,R,Comedy,1982,"July 30, 1982 (United States)",6.6,15000,RON HOWARD,Lowell Ganz,Henry Winkler,UNITED STATES,0,21095638.0,Major Studio Partners,"106.0,"
Summer Lovers,R,Comedy,1982,"July 16, 1982 (United States)",5.7,3900,RANDAL KLEISER,Randal Kleiser,Peter Gallagher,UNITED STATES,0,4968000.0,Filmways Pictures,"98.0,"
Victor Victoria,PG,Comedy,1982,"March 19, 1982 (United States)",7.6,20000,BLAKE EDWARDS,Blake Edwards,Julie Andrews,UNITED KINGDOM,0,28229046.0,Metro-Goldwyn-Mayer (MGM),"134.0,"
The Last Unicorn,G,Animation,1982,"November 19, 1982 (United States)",7.4,25000,JULES BASS,Peter S. Beagle,Jeff Bridges,UNITED KINGDOM,3500000,6455330.0,Rankin/Bass Productions,"92.0,"
The Entity,R,Drama,1982,"February 4, 1983 (United States)",6.7,15000,SIDNEY J. FURIE,Frank De Felitta,Barbara Hershey,UNITED STATES,9000000,13277558.0,American Cinema Productions,"125.0,"
Airplane II: the Sequel,PG,Comedy,1982,"December 10, 1982 (United States)",6.2,50000,KEN FINKLEMAN,Ken Finkleman,Robert Hays,UNITED STATES,15000000,27150534.0,Paramount Pictures,"85.0,"
The Toy,PG,Comedy,1982,"December 10, 1982 (United States)",5.8,11000,RICHARD DONNER,Francis Veber,Richard Pryor,UNITED STATES,17000000,47118057.0,Columbia Pictures,"102.0,"
The House on Sorority Row,R,Horror,1982,"July 28, 1983 (South Korea)",6.0,7800,MARK ROSMAN,Mark Rosman,Kate McNeil,UNITED STATES,425000,10604986.0,VAE Productions,"91.0,"
Evil Under the Sun,PG,Crime,1982,"March 5, 1982 (United States)",7.1,15000,GUY HAMILTON,Anthony Shaffer,Peter Ustinov,UNITED KINGDOM,10000000,6110670.0,EMI Films,"117.0,"
The Sword and the Sorcerer,R,Action,1982,"April 30, 1982 (United States)",5.6,5700,ALBERT PYUN,Tom Karnowski,Lee Horsley,UNITED STATES,0,39103425.0,Sorcerer Productions,"99.0,"
Death Wish II,R,Action,1982,"February 19, 1982 (United States)",6.0,15000,MICHAEL WINNER,David Engelbach,Charles Bronson,UNITED STATES,2000000,16100000.0,Golan-Globus Productions,"89.0,"
Silent Rage,R,Action,1982,"April 2, 1982 (United States)",5.5,5300,MICHAEL MILLER,Joseph Fraley,Chuck Norris,UNITED STATES,4500000,10490791.0,Columbia Pictures,"103.0,"
Megaforce,PG,Action,1982,"June 25, 1982 (United States)",3.7,3400,HAL NEEDHAM,Bob Kachler,Barry Bostwick,HONG KONG,20000000,5675599.0,Golden Harvest Company,"99.0,"
Personal Best,R,Drama,1982,"June 26, 1982 (Japan)",6.3,2600,ROBERT TOWNE,Robert Towne,Mariel Hemingway,UNITED STATES,16000000,5672311.0,The Geffen Company,"128.0,"
Dead Men Don't Wear Plaid,PG,Comedy,1982,"May 21, 1982 (United States)",6.9,21000,CARL REINER,Carl Reiner,Steve Martin,UNITED STATES,9000000,18196170.0,Aspen Film Society,"88.0,"
Amityville II: The Possession,R,Horror,1982,"September 24, 1982 (United States)",5.5,11000,DAMIANO DAMIANI,Tommy Lee Wallace,James Olson,MEXICO,5000000,12534817.0,Dino De Laurentiis Company,"104.0,"
Missing,PG,Biography,1982,"March 12, 1982 (United States)",7.7,19000,COSTA-GAVRAS,Costa-Gavras,Jack Lemmon,UNITED STATES,9500000,14000000.0,PolyGram Filmed Entertainment,"122.0,"
The Seduction,R,Thriller,1982,"January 29, 1982 (United States)",4.9,1100,DAVID SCHMOELLER,David Schmoeller,Morgan Fairchild,UNITED STATES,0,11378339.0,The Romantic Venture,"104.0,"
Cannery Row,PG,Comedy,1982,"February 12, 1982 (United States)",6.7,3500,DAVID S. WARD,John Steinbeck,Nick Nolte,UNITED STATES,11300000,5301539.0,Chai Productions,"120.0,"
Deathtrap,PG,Comedy,1982,"March 19, 1982 (United States)",7.0,13000,SIDNEY LUMET,Ira Levin,Michael Caine,UNITED STATES,0,19282134.0,Warner Bros.,"116.0,"
Tex,PG,Drama,1982,"July 30, 1982 (United States)",6.5,2000,TIM HUNTER,S.E. Hinton,Matt Dillon,UNITED STATES,0,7400000.0,Walt Disney Productions,"103.0,"
"I, the Jury",R,Crime,1982,"April 22, 1982 (West Germany)",5.9,1500,RICHARD T. HEFFRON,Mickey Spillane,Armand Assante,UNITED STATES,0,1515578.0,American Cinema Productions,"111.0,"
Tempest,PG,Comedy,1982,"September 24, 1982 (United States)",6.5,2200,PAUL MAZURSKY,Paul Mazursky,John Cassavetes,UNITED STATES,13000000,5005245.0,Columbia Pictures,"140.0,"
Young Doctors in Love,R,Comedy,1982,"July 16, 1982 (United States)",5.5,3000,GARRY MARSHALL,Michael Elias,Michael McKean,UNITED STATES,0,30688860.0,ABC Motion Pictures,"96.0,"
My Favorite Year,PG,Comedy,1982,"October 8, 1982 (United States)",7.4,9000,RICHARD BENJAMIN,Norman Steinberg,Peter O'Toole,UNITED STATES,0,20123620.0,Metro-Goldwyn-Mayer (MGM),"92.0,"
Still of the Night,PG,Crime,1982,"November 19, 1982 (United States)",6.1,4300,ROBERT BENTON,Robert Benton,Roy Scheider,UNITED STATES,10000000,5979947.0,United Artists,"93.0,"
Parasite,R,Horror,1982,"March 12, 1982 (United States)",3.9,2300,CHARLES BAND,Alan J. Adler,Robert Glaudini,UNITED STATES,800000,2270.0,Embassy Pictures,"85.0,"
Making Love,R,Drama,1982,"March 5, 1982 (United States)",6.9,2500,ARTHUR HILLER,Barry Sandler,Michael Ontkean,UNITED STATES,0,11897978.0,IndieProd Company Productions,"113.0,"
Honkytonk Man,PG,Comedy,1982,"December 15, 1982 (United States)",6.6,8200,CLINT EASTWOOD,Clancy Carlile,Clint Eastwood,UNITED STATES,2000000,4484991.0,The Malpaso Company,"122.0,"
The Beast Within,R,Horror,1982,"February 12, 1982 (United States)",5.6,3700,PHILIPPE MORA,Tom Holland,Ronny Cox,UNITED STATES,0,7742572.0,Katzka,"98.0,"
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,"April 6, 1983 (France)",7.2,4200,ROBERT ALTMAN,Ed Graczyk,Cher,UNITED STATES,850000,840958.0,Sandcastle 5 Productions,"109.0,"
The Final Option,R,Action,1982,"September 16, 1983 (United States)",6.4,3000,IAN SHARP,George Markstein,Lewis Collins,SWITZERLAND,6000000,2666873.0,Richmond Light Horse Productions,"125.0,"
Trail of the Pink Panther,PG,Comedy,1982,"December 17, 1982 (United States)",5.0,9800,BLAKE EDWARDS,Blake Edwards,Peter Sellers,UNITED KINGDOM,6000000,9056073.0,United Artists,"96.0,"
The Sender,R,Drama,1982,"October 22, 1982 (United States)",6.0,1800,ROGER CHRISTIAN,Thomas Baum,Kathryn Harrold,UNITED KINGDOM,0,1054328.0,Paramount Pictures,"91.0,"
